"XDR_FIELD_NAME","XDR_DR_TYPE","XDR_FIELD_TYPE","XDR_DEFAULT_VALUE","XDR_FIELD_FORMAT","XDR_FIELD_INDEX"
ACC_ID,dr_cbs,4,,,11
USER_ID,dr_cbs,4,,,12
IMSI,dr_cbs,4,,,13
USER_NUMBER,dr_cbs,4,,,14
IMEI,dr_cbs,4,,,15
BILL_INDICATE,dr_cbs,4,,,16
OPP_NUMBER,dr_cbs,4,,,17
START_TIME,dr_cbs,5,,,18
STOP_TIME,dr_cbs,5,,,19
DURATION,dr_cbs,4,,,20
VOLUME,dr_cbs,4,,,21
UP_VOLUME1,dr_cbs,4,,,22
UP_VOLUME2,dr_cbs,4,,,23
DN_VOLUME1,dr_cbs,4,,,24
DN_VOLUME2,dr_cbs,4,,,25
RATING_RES,dr_cbs,4,,,26
ROAM_TYPE,dr_cbs,4,,,27
SERVICE_TYPE,dr_cbs,4,,,28
APP_TYPE,dr_cbs,4,,,29
APNNI_CODE,dr_cbs,4,,,30
HPLMN1,dr_cbs,4,,,31
HPLMN2,dr_cbs,4,,,32
HPLMN3,dr_cbs,4,,,33
VPLMN1,dr_cbs,4,,,34
VPLMN2,dr_cbs,4,,,35
VPLMN3,dr_cbs,4,,,36
RATING_FLAG,dr_cbs,4,,,37
ITEM_CODE1,dr_cbs,4,,,38
CHARGE1,dr_cbs,4,,,39
CHARGE1_DISC,dr_cbs,4,,,40
ITEM_CODE2,dr_cbs,4,,,41
CHARGE2,dr_cbs,4,,,42
CHARGE2_DISC,dr_cbs,4,,,43
ITEM_CODE3,dr_cbs,4,,,44
CHARGE3,dr_cbs,4,,,45
CHARGE3_DISC,dr_cbs,4,,,46
ITEM_CODE4,dr_cbs,4,,,47
CHARGE4,dr_cbs,4,,,48
CHARGE4_DISC,dr_cbs,4,,,49
FREE_RES_VAL,dr_cbs,4,,,50
ADDUP_RES_VAL,dr_cbs,4,,,51
ORI_BASIC_CHARGE,dr_cbs,4,,,52
ORI_TOLL_CHARGE,dr_cbs,4,,,53
ORI_OTHER_CHARGE,dr_cbs,4,,,54
STD_BASIC_CHARGE,dr_cbs,4,,,55
STD_TOLL_CHARGE,dr_cbs,4,,,56
STD_OTHER_CHARGE,dr_cbs,4,,,57
ADDUP_RES,dr_cbs,4,,,58
CONDITION_ID,dr_cbs,4,,,59
SEQUENCE_NO,dr_cbs,4,,,60
SP_CODE,dr_cbs,4,,,61
OPERATOR_CODE,dr_cbs,4,,,62
CENTER_ID,dr_cbs,4,,,63
LAC_ID,dr_cbs,4,,,64
CELL_ID,dr_cbs,4,,,65
CHARGE_TYPE,dr_cbs,4,,,66
URL_INFO,dr_cbs,4,,,67
IP_ADDRESS,dr_cbs,4,,,68
OPP_IP_ADDRESS,dr_cbs,4,,,69
PORT,dr_cbs,4,,,70
OPP_PORT,dr_cbs,4,,,71
PROTOCAL_TYPE,dr_cbs,4,,,72
REDO_FLAG,dr_cbs,4,,,73
RESERVE1,dr_cbs,4,,,74
RESERVE2,dr_cbs,4,,,75
RESERVE3,dr_cbs,4,,,76
RESERVE4,dr_cbs,4,,,77
USER_PROPERTY,dr_cbs,4,,,78
PROCESS_TIME,dr_cbs,5,,,79
BACKUP_DATE,dr_cbs,5,,,80
ORIGINAL_FILE,dr_cbs,4,,,81
USER_TYPE,dr_cbs,4,,,82
CP_CODE,dr_cbs,4,,,83
SERVICE_PACKET_CODE,dr_cbs,4,,,84
CONTENT_CODE,dr_cbs,4,,,85
STREAM_SERVER_CODE,dr_cbs,4,,,86
DELV_SERVER_CODE,dr_cbs,4,,,87
SERVER_PROV,dr_cbs,4,,,88
CONTENT_SIZE,dr_cbs,4,,,89
TERM_TYPE,dr_cbs,4,,,90
VIDEO_CODE_TYPE,dr_cbs,4,,,91
AUDIO_CODE_TYPE,dr_cbs,4,,,92
STOP_CAUSE,dr_cbs,4,,,93
MONITOR_CDR,dr_cbs,4,,,94
STD_ERR_CODE,dr_cbs,4,,,95
CREATE_DATE,dr_cbs,5,,,96
ALL_PROMOTION_PRODS,dr_cbs,4,,,97
USER_PROP_INFO,dr_cbs,4,,,98
USER_BILL_DAY,dr_cbs,1,,,99
CDR_QUERY_FLAG,dr_cbs,1,,,100
USER_GROUP_INFO,dr_cbs,4,,,101
MCAS_FLAG,dr_cbs,1,,,102
MCAS_BACKUP_DATE,dr_cbs,4,,,103
RECLAIM_FLAG,dr_cbs,1,,,104
CDR_DEAL_FLAG,dr_cbs,1,,,105
NP_FLAG,dr_cbs,4,,,106
OPP_NP_FLAG,dr_cbs,4,,,107
LATE_LINK,dr_cbs,4,,,108
INPUT_TIME,dr_cbs,5,,,109
